case,mode,bearing_deg,distance_m_perceived,distance_world,rms_l,rms_r,rms_total,level_db,balance
null_control,rolloff,0,20,275,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,22,302.5,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,25,343.75,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,30,412.5,0.17677669,0.17677669,0.25,-12.041,0
hardpan_left,pan,0,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,15,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,30,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,45,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,60,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,75,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,90,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,105,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,120,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,135,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,150,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,165,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,180,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,195,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,210,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,225,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,240,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,255,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,270,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,285,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,300,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,315,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,330,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,345,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,0.25,3.4375,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,0.5,6.875,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,1,13.75,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,1.5,20.625,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,2,27.5,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,2.5,34.375,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,3,41.25,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,4,55,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,5,68.75,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,6,82.5,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,8,110,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,10,137.5,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,12,165,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,14,192.5,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,16,220,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,20,275,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,22,302.5,0.35355339,0,0.35355339,-9.031,-1
